strategy,run,metric,batch,value
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,196,0.056328
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,197,0.055136
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,198,0.048769
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,199,0.062593
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,200,0.046019
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,201,0.059626
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,202,0.045257
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,203,0.052237
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,204,0.054721
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,205,0.053587
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,206,0.039507
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,207,0.061075
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,208,0.058881
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,209,0.055881
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,210,0.058112
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,211,0.041295
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,212,0.053647
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,213,0.047247
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,214,0.062548
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,215,0.047691
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,216,0.062458
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,217,0.050541
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,218,0.054644
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,219,0.052105
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,220,0.058117
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,221,0.061845
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,222,0.065622
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,223,0.049231
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,224,0.06766
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,225,0.053152
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,226,0.057718
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,227,0.047026
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,228,0.04992
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,229,0.05103
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,230,0.051545
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,231,0.049719
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,232,0.059133
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,233,0.055808
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,234,0.051052
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,235,0.051519
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,236,0.05266
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,237,0.063937
